year,hour,temp
1977,18,+0210
1977,21,+0210
1978,00,+0180
1978,03,+0200
1978,06,+0230
1978,09,+0220
1978,12,+0160
1978,15,+0190
1978,18,+0120
1978,21,+0100
1979,00,+0180
1979,03,+0240
1979,06,+0260
1979,09,+0250
1979,12,+0190
1979,15,+0160
1979,18,+0140
1979,21,+0130
1980,00,+0160
1980,03,+0210
1980,06,+0250
1980,09,+0250
1980,12,+0180
1980,15,+0160
1980,18,+0140
1980,21,+0130
1981,00,+0180
1981,06,+0210
1981,09,+0230
1981,12,+0190
1981,18,+0150
1981,21,+0130
1982,00,+0180
1982,03,+0219
1982,06,+0240
1982,09,+0253
1982,12,+0204
1982,15,+0162
1982,18,+0139
1982,21,+0109
1983,00,+0188
1983,03,+0234
1983,06,+0259
1983,09,+0255
1983,12,+0227
1983,15,+0207
1983,18,+0189
1983,21,+0189
1984,00,+0190
1984,03,+0241
1984,06,+0257
1984,09,+0257
1984,12,+0220
1984,15,+0180
1984,18,+0162
1984,21,+0155
1985,00,+0171
1985,03,+0207
1985,06,+0204
1985,09,+0214
1985,12,+0194
1985,15,+0184
1985,18,+0178
1985,21,+0173
1986,00,+0199
1986,03,+0250
1986,04,+0250
1986,05,+0250
1986,06,+0255
1986,08,+0250
1986,09,+0253
1986,12,+0219
1986,15,+0189
1986,18,+0181
1986,21,+0171
1987,00,+0181
1987,03,+0226
1987,06,+0262
1987,09,+0264
1987,12,+0234
1987,15,+0229
1987,18,+0201
1987,21,+0189
1988,00,+0214
1988,03,+0223
1988,04,+0220
1988,05,+0210
1988,06,+0200
1988,07,+0210
1988,08,+0210
1988,09,+0200
1988,10,+0200
1988,11,+0190
1988,12,+0190
1988,13,+0190
1988,14,+0190
1988,15,+0190
1988,18,+0187
1988,21,+0179
1988,22,+0180
1989,00,+0206
1989,01,+0230
1989,02,+0240
1989,03,+0235
1989,04,+0260
1989,05,+0240
1989,06,+0248
1989,07,+0260
1989,08,+0250
1989,09,+0245
1989,10,+0230
1989,11,+0230
1989,12,+0223
1989,13,+0220
1989,14,+0220
1989,15,+0217
1989,18,+0207
1989,20,+0210
1989,21,+0205
1989,22,+0200
1989,23,+0200
1990,00,+0193
1990,01,+0220
1990,02,+0230
1990,03,+0240
1990,04,+0260
1990,05,+0180
1990,06,+0254
1990,07,+0260
1990,08,+0260
1990,09,+0247
1990,10,+0230
1990,11,+0230
1990,12,+0220
1990,13,+0210
1990,14,+0200
1990,15,+0203
1990,18,+0185
1990,20,+0170
1990,21,+0175
1990,22,+0170
1990,23,+0180
1991,00,+0216
1991,01,+0220
1991,02,+0240
1991,03,+0251
1991,04,+0260
1991,05,+0260
1991,06,+0290
1991,07,+0280
1991,08,+0280
1991,09,+0289
1991,10,+0260
1991,12,+0259
1991,13,+0240
1991,14,+0230
1991,15,+0232
1991,18,+0224
1991,20,+0200
1991,21,+0216
1991,22,+0200
1991,23,+0210
1992,00,+0176
1992,01,+0190
1992,02,+0210
1992,03,+0224
1992,04,+0240
1992,05,+0250
1992,06,+0262
1992,07,+0260
1992,08,+0270
1992,09,+0267
1992,10,+0250
1992,11,+0230
1992,12,+0210
1992,13,+0210
1992,14,+0200
1992,15,+0193
1992,16,+0180
1992,17,+0170
1992,18,+0174
1992,19,+0160
1992,20,+0160
1992,21,+0176
1992,22,+0160
1992,23,+0170
1993,00,+0179
1993,01,+0200
1993,02,+0230
1993,03,+0233
1993,04,+0250
1993,05,+0250
1993,06,+0257
1993,07,+0250
1993,08,+0250
1993,09,+0258
1993,10,+0230
1993,11,+0220
1993,12,+0200
1993,13,+0200
1993,14,+0180
1993,15,+0173
1993,16,+0170
1993,17,+0160
1993,18,+0165
1993,20,+0150
1993,21,+0148
1993,22,+0140
1994,00,+0176
1994,01,+0200
1994,02,+0210
1994,03,+0220
1994,04,+0250
1994,05,+0260
1994,06,+0264
1994,07,+0250
1994,08,+0250
1994,09,+0258
1994,10,+0240
1994,11,+0230
1994,12,+0248
1994,13,+0220
1994,14,+0200
1994,15,+0219
1994,16,+0180
1994,18,+0189
1994,20,+0190
1994,21,+0207
1994,22,+0180
1994,23,+0180
1995,00,+0163
1995,01,+0160
1995,02,+0210
1995,03,+0220
1995,04,+0250
1995,05,+0250
1995,06,+0257
1995,07,+0250
1995,08,+0240
1995,09,+0234
1995,10,+0210
1995,11,+0220
1995,12,+0204
1995,13,+0200
1995,14,+0190
1995,15,+0182
1995,16,+0180
1995,17,+0170
1995,18,+0148
1995,20,+0140
1995,21,+0124
1995,22,+0110
1995,23,+0130
1996,00,+0193
1996,01,+0210
1996,02,+0220
1996,03,+0247
1996,04,+0250
1996,05,+0260
1996,06,+0283
1996,07,+0280
1996,08,+0280
1996,09,+0272
1996,10,+0260
1996,11,+0230
1996,12,+0242
1996,13,+0220
1996,14,+0210
1996,15,+0219
1996,16,+0200
1996,17,+0190
1996,18,+0196
1996,20,+0170
1996,21,+0185
1996,22,+0170
1996,23,+0170
1997,00,+0238
1997,01,+0250
1997,03,+0238
1997,04,+0240
1997,09,+0198
1997,10,+0200
1997,11,+0200
1997,12,+0187
1997,13,+0180
1997,14,+0170
1997,15,+0173
1997,16,+0160
1997,17,+0160
1997,18,+0169
1997,19,+0170
1997,20,+0160
1997,21,+0160
1997,22,+0160
1997,23,+0160
1998,00,+0229
1998,01,+0240
1998,02,+0250
1998,03,+0271
1998,04,+0280
1998,05,+0300
1998,06,+0311
1998,07,+0310
1998,08,+0310
1998,09,+0309
1998,10,+0290
1998,11,+0270
1998,12,+0275
1998,13,+0260
1998,14,+0240
1998,15,+0249
1998,16,+0230
1998,17,+0230
1998,18,+0215
1998,19,+0220
1998,20,+0210
1998,21,+0203
1998,22,+0200
1998,23,+0210
1999,00,+0243
1999,01,+0260
1999,02,+0270
1999,03,+0276
1999,04,+0300
1999,05,+0310
1999,07,+0320
1999,08,+0320
1999,09,+0304
1999,10,+0290
1999,11,+0280
1999,12,+0262
1999,13,+0260
1999,14,+0260
1999,15,+0241
1999,16,+0240
1999,17,+0230
1999,18,+0240
1999,19,+0230
1999,20,+0230
1999,21,+0228
1999,22,+0230
1999,23,+0240
2000,00,+0189
2000,01,+0200
2000,02,+0220
2000,03,+0249
2000,04,+0260
2000,05,+0270
2000,06,+0281
2000,07,+0290
2000,08,+0290
2000,09,+0277
2000,10,+0250
2000,11,+0240
2000,12,+0225
2000,13,+0200
2000,14,+0190
2000,15,+0194
2000,16,+0180
2000,17,+0170
2000,18,+0181
2000,19,+0150
2000,20,+0150
2000,21,+0160
2000,22,+0150
2000,23,+0160
2001,00,+0213
2001,01,+0240
2001,02,+0250
2001,03,+0264
2001,04,+0290
2001,05,+0290
2001,06,+0292
2001,07,+0300
2001,08,+0300
2001,09,+0286
2001,10,+0270
2001,11,+0250
2001,12,+0230
2001,13,+0210
2001,14,+0200
2001,15,+0212
2001,16,+0190
2001,17,+0190
2001,18,+0188
2001,19,+0170
2001,20,+0180
2001,21,+0184
2001,22,+0150
2001,23,+0160
2002,00,+0232
2002,01,+0250
2002,02,+0270
2002,03,+0285
2002,04,+0290
2002,05,+0310
2002,06,+0304
2002,07,+0310
2002,08,+0300
2002,09,+0307
2002,10,+0280
2002,11,+0260
2002,12,+0258
2002,13,+0240
2002,14,+0230
2002,15,+0228
2002,16,+0210
2002,17,+0210
2002,18,+0207
2002,19,+0200
2002,20,+0200
2002,21,+0200
2002,22,+0190
2002,23,+0210
2003,00,+0208
2003,01,+0230
2003,02,+0240
2003,03,+0248
2003,04,+0260
2003,05,+0260
2003,06,+0268
2003,07,+0260
2003,08,+0260
2003,09,+0260
2003,10,+0260
2003,11,+0220
2003,12,+0235
2003,15,+0192
2003,16,+0190
2003,17,+0190
2003,18,+0160
2003,20,+0150
2003,21,+0162
2003,22,+0130
2003,23,+0160
2004,00,+0225
2004,01,+0240
2004,02,+0260
2004,03,+0266
2004,04,+0280
2004,05,+0290
2004,06,+0288
2004,07,+0300
2004,08,+0290
2004,09,+0275
2004,10,+0260
2004,11,+0240
2004,12,+0232
2004,13,+0210
2004,14,+0210
2004,15,+0210
2004,16,+0200
2004,17,+0190
2004,18,+0200
2004,19,+0180
2004,20,+0170
2004,21,+0190
2004,22,+0170
2004,23,+0180
2005,00,+0216
2005,01,+0220
2005,02,+0240
2005,03,+0274
2005,04,+0290
2005,05,+0300
2005,06,+0302
2005,07,+0310
2005,08,+0300
2005,09,+0295
2005,10,+0280
2005,11,+0260
2005,12,+0264
2005,13,+0250
2005,14,+0240
2005,15,+0246
2005,16,+0230
2005,17,+0220
2005,18,+0226
2005,19,+0220
2005,20,+0210
2005,21,+0215
2005,22,+0210
2005,23,+0210
2006,00,+0154
2006,01,+0170
2006,02,+0160
2006,03,+0180
2006,04,+0200
2006,05,+0200
2006,06,+0201
2006,07,+0180
2006,08,+0200
2006,09,+0187
2006,10,+0180
2006,11,+0160
2006,12,+0161
2006,13,+0160
2006,14,+0150
2006,15,+0158
2006,16,+0150
2006,17,+0150
2006,18,+0134
2006,19,+0120
2006,20,+0120
2006,21,+0106
2006,22,+0090
2006,23,+0110
2007,00,+0234
2007,01,+0250
2007,02,+0270
2007,03,+0295
2007,04,+0300
2007,05,+0320
2007,06,+0323
2007,07,+0330
2007,08,+0330
2007,09,+0306
2007,10,+0290
2007,11,+0260
2007,12,+0262
2007,13,+0260
2007,14,+0250
2007,15,+0233
2007,16,+0230
2007,17,+0220
2007,18,+0220
2007,19,+0200
2007,20,+0200
2007,21,+0200
2007,22,+0200
2007,23,+0200
2008,00,+0200
2008,01,+0200
2008,02,+0210
2008,03,+0230
2008,04,+0230
2008,05,+0230
2008,06,+0230
2008,07,+0220
2008,08,+0220
2008,09,+0219
2008,10,+0210
2008,11,+0200
2008,12,+0190
2008,13,+0190
2008,14,+0190
2008,15,+0194
2008,16,+0190
2008,17,+0190
2008,18,+0190
2008,19,+0190
2008,20,+0180
2008,21,+0189
2008,22,+0180
2008,23,+0180
2009,00,+0190
2009,01,+0210
2009,02,+0250
2009,03,+0263
2009,04,+0290
2009,05,+0290
2009,06,+0300
2009,07,+0290
2009,08,+0300
2009,09,+0273
2009,10,+0220
2009,11,+0230
2009,12,+0200
2009,13,+0190
2009,14,+0190
2009,15,+0209
2009,16,+0180
2009,17,+0180
2009,18,+0180
2009,19,+0180
2009,20,+0180
2009,21,+0204
2009,22,+0180
2009,23,+0190
2010,00,+0200
2010,01,+0210
2010,02,+0230
2010,03,+0245
2010,04,+0270
2010,05,+0260
2010,06,+0270
2010,07,+0270
2010,08,+0270
2010,09,+0257
2010,10,+0240
2010,11,+0230
2010,12,+0210
2010,13,+0210
2010,14,+0210
2010,15,+0219
2010,16,+0200
2010,17,+0190
2010,18,+0190
2010,19,+0180
2010,20,+0170
2010,21,+0192
2010,22,+0160
2010,23,+0180
2011,00,+0200
2011,01,+0200
2011,02,+0230
2011,03,+0225
2011,04,+0240
2011,05,+0240
2011,06,+0250
2011,07,+0250
2011,08,+0230
2011,09,+0241
2011,10,+0200
2011,11,+0180
2011,12,+0180
2011,13,+0170
2011,14,+0200
2011,15,+0208
2011,16,+0170
2011,17,+0170
2011,18,+0170
2011,19,+0170
2011,20,+0160
2011,21,+0159
2011,22,+0140
2011,23,+0140
2012,00,+0200
2012,01,+0210
2012,02,+0240
2012,03,+0253
2012,04,+0250
2012,05,+0270
2012,06,+0270
2012,07,+0270
2012,08,+0270
2012,09,+0269
2012,10,+0240
2012,11,+0240
2012,12,+0240
2012,13,+0230
2012,14,+0220
2012,15,+0220
2012,16,+0190
2012,17,+0190
2012,18,+0200
2012,19,+0190
2012,20,+0190
2012,21,+0201
2012,22,+0190
2012,23,+0190
2013,00,+0190
2013,01,+0200
2013,02,+0210
2013,03,+0228
2013,04,+0250
2013,05,+0250
2013,06,+0250
2013,07,+0250
2013,08,+0250
2013,09,+0240
2013,10,+0220
2013,11,+0210
2013,12,+0200
2013,13,+0210
2013,14,+0200
2013,15,+0203
2013,16,+0200
2013,17,+0200
2013,18,+0190
2013,19,+0190
2013,20,+0180
2013,21,+0184
2013,22,+0180
2013,23,+0190
2014,00,+0220
2014,01,+0230
2014,02,+0250
2014,03,+0255
2014,04,+0270
2014,05,+0280
2014,06,+0290
2014,07,+0290
2014,08,+0290
2014,09,+0284
2014,10,+0250
2014,11,+0250
2014,12,+0230
2014,13,+0240
2014,14,+0230
2014,15,+0226
2014,16,+0200
2014,17,+0190
2014,18,+0170
2014,19,+0180
2014,20,+0180
2014,21,+0190
2014,22,+0170
2014,23,+0190
2015,00,+0220
2015,01,+0230
2015,02,+0250
2015,03,+0237
2015,04,+0250
2015,05,+0260
2015,06,+0240
2015,07,+0240
2015,08,+0220
2015,09,+0232
2015,10,+0210
2015,11,+0210
2015,12,+0210
2015,13,+0200
2015,14,+0200
2015,15,+0203
2015,16,+0200
2015,17,+0190
2015,18,+0200
2015,20,+0190
2015,21,+0190
2015,22,+0180
2015,23,+0180
2016,00,+0250
2016,01,+0260
2016,02,+0290
2016,03,+0300
2016,04,+0300
2016,05,+0320
2016,06,+0320
2016,07,+0320
2016,08,+0310
2016,09,+0308
2016,10,+0300
2016,11,+0250
2016,12,+0210
2016,13,+0220
2016,14,+0190
2016,15,+0226
2016,16,+0190
2016,17,+0200
2016,18,+0180
2016,19,+0170
2016,20,+0170
2016,21,+0203
2016,22,+0190
2016,23,+0210
2017,00,+0240
2017,01,+0240
2017,02,+0250
2017,03,+0250
2017,04,+0270
2017,05,+0280
2017,06,+0290
2017,07,+0290
2017,08,+0290
2017,09,+0297
2017,10,+0270
2017,11,+0260
2017,12,+0250
2017,13,+0250
2017,14,+0240
2017,15,+0240
2017,16,+0240
2017,17,+0230
2017,18,+0230
2017,19,+0230
2017,20,+0230
2017,21,+0231
2017,22,+0230
2017,23,+0230
2018,00,+0200
2018,01,+0210
2018,02,+0230
2018,03,+0238
2018,04,+0270
2018,05,+0260
2018,06,+0280
2018,07,+0280
2018,08,+0280
2018,09,+0269
2018,10,+0260
2018,11,+0250
2018,12,+0190
2018,13,+0190
2018,14,+0170
2018,15,+0200
2018,16,+0190
2018,17,+0190
2018,18,+0180
2018,19,+0180
2018,20,+0150
2018,21,+0173
2018,22,+0160
2018,23,+0170
2019,00,+0270
2019,01,+0280
2019,02,+0300
2019,03,+0300
2019,04,+0310
2019,05,+0310
2019,06,+0310
2019,07,+0320
2019,08,+0300
2019,09,+0300
2019,10,+0230
2019,11,+0220
2019,12,+0210
2019,13,+0210
2019,14,+0210
2019,15,+0201
2019,16,+0190
2019,17,+0190
2019,18,+0190
2019,19,+0190
2019,20,+0190
2019,21,+0190
2019,22,+0190
2019,23,+0190
