year,hour,temp
1974,18,+0070
1974,19,+0070
1974,20,+0060
1974,21,+0060
1974,22,+0060
1974,23,+0070
1975,00,+0100
1975,01,+0100
1975,02,+0100
1975,03,+0090
1975,04,+0080
1975,05,+0080
1975,06,+0080
1975,07,+0090
1975,08,+0100
1975,09,+0130
1975,10,+0150
1975,11,+0160
1975,12,+0170
1975,13,+0150
1975,14,+0150
1975,15,+0150
1975,16,+0150
1975,17,+0170
1975,18,+0170
1975,19,+0170
1975,20,+0160
1975,21,+0170
1975,22,+0150
1975,23,+0140
1976,00,+0130
1976,01,+0130
1976,02,+0130
1976,03,+0130
1976,04,+0130
1976,05,+0130
1976,06,+0140
1976,07,+0140
1976,08,+0140
1976,09,+0150
1976,10,+0160
1976,11,+0160
1976,12,+0150
1976,13,+0150
1976,14,+0150
1976,15,+0150
1976,16,+0150
1976,17,+0150
1976,18,+0150
1976,19,+0150
1976,20,+0140
1976,21,+0140
1976,22,+0140
1976,23,+0130
1977,00,+0090
1977,01,+0090
1977,02,+0080
1977,03,+0080
1977,04,+0070
1977,05,+0070
1977,06,+0070
1977,07,+0090
1977,08,+0100
1977,09,+0120
1977,10,+0130
1977,11,+0130
1977,12,+0140
1977,13,+0130
1977,14,+0130
1977,15,+0140
1977,16,+0130
1977,17,+0120
1977,18,+0110
1977,19,+0110
1977,20,+0110
1977,21,+0100
1977,22,+0090
1977,23,+0080
1978,00,+0090
1978,01,+0090
1978,02,+0080
1978,03,+0070
1978,04,+0060
1978,05,+0050
1978,06,+0050
1978,07,+0070
1978,08,+0090
1978,09,+0110
1978,10,+0130
1978,11,+0150
1978,12,+0150
1978,13,+0160
1978,14,+0150
1978,15,+0150
1978,16,+0150
1978,17,+0140
1978,18,+0140
1978,19,+0120
1978,20,+0120
1978,21,+0110
1978,22,+0100
1978,23,+0090
1979,00,+0090
1979,01,+0090
1979,02,+0090
1979,03,+0080
1979,04,+0070
1979,05,+0070
1979,06,+0070
1979,07,+0080
1979,08,+0100
1979,09,+0130
1979,10,+0160
1979,11,+0180
1979,12,+0180
1979,13,+0190
1979,14,+0200
1979,15,+0200
1979,16,+0190
1979,17,+0180
1979,18,+0170
1979,19,+0170
1979,20,+0160
1979,21,+0150
1979,22,+0150
1979,23,+0150
1980,00,+0100
1980,01,+0090
1980,02,+0080
1980,03,+0080
1980,04,+0080
1980,05,+0070
1980,06,+0070
1980,07,+0080
1980,08,+0100
1980,09,+0120
1980,10,+0140
1980,11,+0140
1980,12,+0150
1980,13,+0150
1980,14,+0150
1980,15,+0160
1980,16,+0150
1980,17,+0140
1980,18,+0130
1980,19,+0120
1980,20,+0110
1980,21,+0100
1980,22,+0090
1980,23,+0080
1981,00,+0150
1981,01,+0140
1981,02,+0140
1981,03,+0140
1981,04,+0140
1981,05,+0140
1981,06,+0140
1981,07,+0140
1981,08,+0140
1981,09,+0120
1981,10,+0130
1981,11,+0140
1981,12,+0130
1981,13,+0140
1981,14,+0150
1981,15,+0130
1981,16,+0130
1981,17,+0120
1981,18,+0100
1981,19,+0090
1981,20,+0080
1981,21,+0080
1981,22,+0070
1981,23,+0070
1982,00,+0150
1982,01,+0150
1982,02,+0150
1982,03,+0150
1982,04,+0150
1982,05,+0150
1982,06,+0150
1982,07,+0150
1982,08,+0150
1982,09,+0150
1982,10,+0150
1982,11,+0160
1982,12,+0150
1982,13,+0150
1982,14,+0150
1982,15,+0140
1982,16,+0140
1982,17,+0120
1982,18,+0110
1982,19,+0100
1982,20,+0100
1982,21,+0090
1982,22,+0090
1982,23,+0090
1983,00,+0160
1983,01,+0150
1983,02,+0150
1983,03,+0150
1983,04,+0150
1983,05,+0140
1983,06,+0140
1983,07,+0140
1983,08,+0150
1983,09,+0160
1983,10,+0170
1983,11,+0180
1983,12,+0190
1983,13,+0190
1983,14,+0190
1983,15,+0185
1983,16,+0180
1983,17,+0170
1983,18,+0170
1983,19,+0160
1983,20,+0160
1983,21,+0160
1983,22,+0160
1983,23,+0160
1984,00,+0100
1984,01,+0090
1984,02,+0090
1984,03,+0080
1984,04,+0080
1984,05,+0070
1984,06,+0090
1984,07,+0090
1984,08,+0089
1984,09,+0110
1984,10,+0119
1984,11,+0140
1984,12,+0150
1984,13,+0140
1984,14,+0140
1984,15,+0140
1984,16,+0110
1984,17,+0110
1984,18,+0100
1984,19,+0110
1984,20,+0100
1984,21,+0090
1984,22,+0090
1984,23,+0080
1985,00,+0170
1985,01,+0180
1985,02,+0180
1985,03,+0170
1985,04,+0150
1985,05,+0150
1985,06,+0150
1985,07,+0160
1985,08,+0180
1985,09,+0190
1985,10,+0200
1985,11,+0206
1985,12,+0210
1985,13,+0210
1985,14,+0215
1985,15,+0200
1985,16,+0190
1985,17,+0185
1985,18,+0170
1985,19,+0170
1985,20,+0170
1985,21,+0170
1985,22,+0170
1985,23,+0180
1986,00,+0130
1986,01,+0130
1986,02,+0130
1986,03,+0140
1986,04,+0130
1986,05,+0130
1986,06,+0130
1986,07,+0130
1986,08,+0130
1986,09,+0150
1986,10,+0160
1986,11,+0170
1986,12,+0170
1986,13,+0180
1986,14,+0180
1986,15,+0180
1986,16,+0180
1986,17,+0180
1986,18,+0170
1986,19,+0170
1986,20,+0160
1986,21,+0160
1986,22,+0160
1986,23,+0150
1987,00,+0100
1987,01,+0100
1987,02,+0090
1987,03,+0100
1987,04,+0110
1987,05,+0110
1987,06,+0120
1987,07,+0120
1987,08,+0140
1987,09,+0150
1987,10,+0160
1987,11,+0178
1987,12,+0174
1987,13,+0190
1987,14,+0190
1987,15,+0180
1987,16,+0170
1987,17,+0160
1987,18,+0150
1987,19,+0150
1987,20,+0150
1987,21,+0150
1987,22,+0150
1987,23,+0150
1988,00,+0060
1988,01,+0060
1988,02,+0040
1988,03,+0040
1988,04,+0040
1988,05,+0040
1988,06,+0040
1988,07,+0050
1988,08,+0080
1988,09,+0110
1988,10,+0140
1988,11,+0150
1988,12,+0160
1988,13,+0161
1988,15,+0169
1988,16,+0170
1988,17,+0160
1988,18,+0150
1988,19,+0130
1988,20,+0120
1988,21,+0110
1988,22,+0100
1988,23,+0100
1989,00,+0130
1989,01,+0130
1989,02,+0120
1989,03,+0120
1989,04,+0120
1989,05,+0120
1989,06,+0120
1989,07,+0130
1989,08,+0127
1989,09,+0129
1989,10,+0130
1989,11,+0140
1989,12,+0140
1989,13,+0150
1989,14,+0160
1989,15,+0160
1989,16,+0160
1989,17,+0150
1989,18,+0130
1989,19,+0130
1989,20,+0120
1989,21,+0110
1989,22,+0100
1989,23,+0080
1990,00,+0110
1990,01,+0110
1990,02,+0120
1990,03,+0120
1990,04,+0130
1990,05,+0130
1990,06,+0130
1990,07,+0130
1990,08,+0150
1990,09,+0160
1990,10,+0180
1990,11,+0190
1990,12,+0190
1990,13,+0190
1990,14,+0180
1990,15,+0180
1990,16,+0180
1990,17,+0170
1990,18,+0160
1990,19,+0160
1990,20,+0150
1990,21,+0150
1990,22,+0150
1990,23,+0150
1991,00,+0110
1991,01,+0110
1991,02,+0100
1991,03,+0090
1991,04,+0090
1991,05,+0080
1991,06,+0090
1991,07,+0100
1991,08,+0110
1991,09,+0130
1991,10,+0150
1991,11,+0160
1991,12,+0160
1991,13,+0170
1991,14,+0180
1991,15,+0170
1991,16,+0160
1991,17,+0160
1991,18,+0160
1991,19,+0150
1991,20,+0140
1991,21,+0140
1991,22,+0140
1991,23,+0140
1992,00,+0110
1992,01,+0110
1992,02,+0110
1992,03,+0100
1992,04,+0100
1992,05,+0090
1992,06,+0090
1992,07,+0110
1992,08,+0130
1992,09,+0150
1992,10,+0170
1992,12,+0180
1992,13,+0170
1992,14,+0170
1992,15,+0160
1992,16,+0160
1992,17,+0150
1992,18,+0140
1992,19,+0140
1992,20,+0140
1992,21,+0140
1992,22,+0120
1992,23,+0110
1993,00,+0110
1993,01,+0109
1993,02,+0106
1993,03,+0105
1993,04,+0106
1993,05,+0106
1993,06,+0109
1993,07,+0107
1993,08,+0107
1993,09,+0108
1993,10,+0121
1993,11,+0123
1993,12,+0130
1993,13,+0125
1993,14,+0121
1993,15,+0131
1993,16,+0137
1993,17,+0125
1993,18,+0118
1993,19,+0119
1993,20,+0112
1993,21,+0111
1993,22,+0102
1993,23,+0100
1994,00,+0113
1994,01,+0107
1994,02,+0113
1994,03,+0111
1994,04,+0118
1994,05,+0122
1994,06,+0128
1994,07,+0131
1994,08,+0140
1994,09,+0148
1994,10,+0161
1994,11,+0161
1994,12,+0160
1994,13,+0153
1994,14,+0160
1994,15,+0150
1994,16,+0145
1994,17,+0138
1994,18,+0137
1994,19,+0135
1994,20,+0135
1994,21,+0132
1994,23,+0132
1995,00,+0109
1995,01,+0103
1995,02,+0104
1995,03,+0101
1995,04,+0097
1995,05,+0112
1995,06,+0113
1995,07,+0115
1995,08,+0129
1995,09,+0150
1995,10,+0153
1995,11,+0170
1995,12,+0178
1995,13,+0180
1995,14,+0181
1995,15,+0179
1995,16,+0171
1995,17,+0168
1995,18,+0159
1995,19,+0150
1995,20,+0146
1995,21,+0145
1995,22,+0143
1995,23,+0139
1996,00,+0084
1996,01,+0072
1996,02,+0067
1996,03,+0065
1996,04,+0061
1996,05,+0061
1996,06,+0061
1996,07,+0061
1996,08,+0074
1996,09,+0105
1996,10,+0134
1996,11,+0150
1996,12,+0161
1996,13,+0171
1996,14,+0167
1996,15,+0180
1996,16,+0175
1996,17,+0166
1996,18,+0150
1996,19,+0141
1996,20,+0133
1996,21,+0122
1996,22,+0105
1996,23,+0105
1997,00,+0155
1997,01,+0148
1997,02,+0147
1997,03,+0151
1997,04,+0149
1997,05,+0139
1997,06,+0131
1997,07,+0133
1997,08,+0142
1997,09,+0155
1997,10,+0163
1997,11,+0172
1997,12,+0180
1997,13,+0188
1997,14,+0195
1997,15,+0192
1997,16,+0193
1997,17,+0181
1997,18,+0171
1997,19,+0164
1997,20,+0156
1997,21,+0146
1997,22,+0135
1997,23,+0132
1998,00,+0117
1998,01,+0122
1998,02,+0123
1998,03,+0119
1998,04,+0113
1998,05,+0111
1998,06,+0118
1998,07,+0124
1998,08,+0134
1998,09,+0138
1998,10,+0142
1998,11,+0136
1998,12,+0139
1998,13,+0137
1998,14,+0126
1998,15,+0119
1998,16,+0119
1998,17,+0119
1998,18,+0114
1998,19,+0100
1998,20,+0091
1998,21,+0080
1998,22,+0078
1998,23,+0075
1999,00,+0153
1999,01,+0151
1999,02,+0148
1999,03,+0137
1999,04,+0147
1999,05,+0140
1999,06,+0089
1999,07,+0083
1999,08,+0092
1999,09,+0106
1999,10,+0120
1999,11,+0128
1999,12,+0138
1999,13,+0143
1999,14,+0153
1999,15,+0151
1999,16,+0150
1999,17,+0138
1999,18,+0126
1999,19,+0122
1999,20,+0114
1999,21,+0104
1999,22,+0100
1999,23,+0094
2000,00,+0124
2000,01,+0123
2000,02,+0110
2000,03,+0102
2000,04,+0101
2000,05,+0100
2000,06,+0112
2000,07,+0116
2000,08,+0123
2000,09,+0131
2000,10,+0139
2000,11,+0146
2000,12,+0145
2000,13,+0149
2000,14,+0148
2000,15,+0139
2000,16,+0139
2000,17,+0138
2000,18,+0134
2000,19,+0131
2000,20,+0123
2000,21,+0103
2000,22,+0093
2000,23,+0088
2001,00,+0159
2001,01,+0157
2001,02,+0153
2001,03,+0155
2001,04,+0148
2001,05,+0138
2001,06,+0129
2001,07,+0126
2001,08,+0128
2001,09,+0130
2001,10,+0138
2001,11,+0152
2001,12,+0158
2001,13,+0185
2001,14,+0175
2001,15,+0170
2001,16,+0168
2001,17,+0162
2001,18,+0157
2001,19,+0149
2001,20,+0146
2001,21,+0143
2001,23,+0140
2002,00,+0150
2002,01,+0150
2002,02,+0150
2002,03,+0140
2002,04,+0140
2002,05,+0150
2002,06,+0150
2002,07,+0160
2002,08,+0160
2002,09,+0170
2002,10,+0180
2002,11,+0190
2002,12,+0190
2002,13,+0190
2002,14,+0200
2002,15,+0190
2002,16,+0180
2002,17,+0170
2002,18,+0170
2002,19,+0160
2002,20,+0160
2002,21,+0160
2002,22,+0150
2002,23,+0150
2003,00,+0130
2003,01,+0110
2003,02,+0110
2003,03,+0110
2003,04,+0120
2003,05,+0130
2003,06,+0130
2003,07,+0120
2003,08,+0130
2003,09,+0130
2003,10,+0130
2003,11,+0150
2003,12,+0160
2003,13,+0170
2003,14,+0180
2003,15,+0180
2003,16,+0180
2003,17,+0170
2003,18,+0160
2003,19,+0160
2003,20,+0160
2003,21,+0150
2003,22,+0150
2003,23,+0140
2004,00,+0110
2004,01,+0110
2004,02,+0100
2004,03,+0100
2004,04,+0100
2004,05,+0100
2004,06,+0110
2004,07,+0110
2004,08,+0130
2004,09,+0140
2004,10,+0140
2004,11,+0150
2004,12,+0170
2004,13,+0170
2004,14,+0177
2004,15,+0130
2004,16,+0150
2004,17,+0140
2004,18,+0130
2004,19,+0130
2004,20,+0130
2004,21,+0130
2004,22,+0130
2004,23,+0130
2005,00,+0110
2005,01,+0110
2005,02,+0100
2005,03,+0100
2005,04,+0090
2005,05,+0090
2005,06,+0080
2005,07,+0090
2005,08,+0110
2005,09,+0120
2005,10,+0130
2005,11,+0140
2005,12,+0150
2005,13,+0150
2005,14,+0160
2005,15,+0150
2005,16,+0150
2005,17,+0140
2005,18,+0120
2005,19,+0110
2005,20,+0100
2005,21,+0090
2005,22,+0090
2005,23,+0080
2006,00,+0150
2006,01,+0150
2006,02,+0140
2006,03,+0140
2006,04,+0140
2006,05,+0140
2006,06,+0140
2006,07,+0140
2006,08,+0160
2006,09,+0170
2006,10,+0170
2006,11,+0180
2006,12,+0190
2006,13,+0170
2006,14,+0170
2006,15,+0160
2006,16,+0170
2006,17,+0160
2006,18,+0150
2006,19,+0150
2006,20,+0140
2006,21,+0140
2006,22,+0120
2006,23,+0120
2007,00,+0120
2007,01,+0120
2007,02,+0120
2007,03,+0120
2007,04,+0120
2007,05,+0120
2007,06,+0130
2007,07,+0130
2007,08,+0130
2007,09,+0140
2007,10,+0140
2007,11,+0150
2007,12,+0150
2007,13,+0140
2007,14,+0140
2007,15,+0140
2007,16,+0140
2007,17,+0140
2007,18,+0130
2007,19,+0130
2007,20,+0140
2007,21,+0140
2007,22,+0140
2007,23,+0130
2008,00,+0080
2008,01,+0080
2008,02,+0077
2008,03,+0075
2008,04,+0080
2008,05,+0073
2008,06,+0080
2008,07,+0080
2008,08,+0090
2008,09,+0100
2008,10,+0120
2008,11,+0127
2008,12,+0125
2008,13,+0124
2008,14,+0140
2008,15,+0140
2008,16,+0130
2008,17,+0120
2008,18,+0110
2008,19,+0100
2008,20,+0090
2008,21,+0080
2008,22,+0080
2008,23,+0080
2009,00,+0090
2009,01,+0090
2009,02,+0080
2009,03,+0070
2009,04,+0080
2009,05,+0090
2009,06,+0100
2009,07,+0090
2009,08,+0110
2009,09,+0130
2009,10,+0140
2009,11,+0150
2009,12,+0170
2009,13,+0170
2009,14,+0170
2009,15,+0160
2009,16,+0160
2009,17,+0150
2009,18,+0150
2009,19,+0150
2009,20,+0140
2009,21,+0140
2009,22,+0130
2009,23,+0130
2010,00,+0130
2010,01,+0120
2010,02,+0110
2010,03,+0100
2010,04,+0100
2010,05,+0100
2010,06,+0100
2010,07,+0100
2010,08,+0120
2010,09,+0130
2010,10,+0150
2010,11,+0160
2010,12,+0160
2010,13,+0160
2010,14,+0140
2010,15,+0140
2010,16,+0140
2010,17,+0140
2010,18,+0140
2010,19,+0130
2010,20,+0130
2010,21,+0130
2010,22,+0130
2010,23,+0120
2011,00,+0160
2011,01,+0150
2011,02,+0140
2011,03,+0130
2011,04,+0130
2011,05,+0130
2011,06,+0130
2011,07,+0160
2011,08,+0190
2011,09,+0200
2011,10,+0230
2011,11,+0250
2011,12,+0270
2011,13,+0275
2011,14,+0270
2011,15,+0270
2011,16,+0260
2011,17,+0230
2011,18,+0210
2011,19,+0200
2011,20,+0190
2011,21,+0180
2011,22,+0170
2011,23,+0160
2012,00,+0110
2012,01,+0110
2012,02,+0111
2012,03,+0110
2012,04,+0110
2012,05,+0110
2012,06,+0110
2012,07,+0120
2012,08,+0130
2012,09,+0140
2012,10,+0160
2012,11,+0160
2012,12,+0170
2012,13,+0160
2012,14,+0170
2012,15,+0160
2012,16,+0150
2012,17,+0150
2012,18,+0140
2012,19,+0130
2012,20,+0130
2012,21,+0140
2012,22,+0140
2012,23,+0140
2013,00,+0160
2013,01,+0150
2013,02,+0150
2013,03,+0140
2013,04,+0140
2013,05,+0140
2013,06,+0140
2013,07,+0150
2013,08,+0150
2013,09,+0160
2013,10,+0160
2013,11,+0190
2013,12,+0190
2013,13,+0210
2013,14,+0210
2013,15,+0210
2013,16,+0190
2013,17,+0190
2013,18,+0180
2013,19,+0170
2013,20,+0170
2013,21,+0160
2013,22,+0160
2013,23,+0150
2014,00,+0160
2014,01,+0150
2014,02,+0160
2014,03,+0160
2014,04,+0160
2014,05,+0150
2014,06,+0150
2014,07,+0150
2014,08,+0160
2014,09,+0170
2014,10,+0180
2014,11,+0200
2014,12,+0200
2014,13,+0200
2014,14,+0200
2014,15,+0200
2014,16,+0200
2014,17,+0190
2014,18,+0180
2014,19,+0170
2014,20,+0160
2014,21,+0150
2014,22,+0150
2014,23,+0140
2015,00,+0110
2015,01,+0110
2015,02,+0110
2015,03,+0100
2015,04,+0090
2015,05,+0080
2015,06,+0080
2015,07,+0090
2015,08,+0120
2015,09,+0140
2015,10,+0160
2015,11,+0170
2015,12,+0180
2015,13,+0180
2015,14,+0180
2015,15,+0180
2015,16,+0180
2015,17,+0160
2015,18,+0150
2015,19,+0110
2015,20,+0110
2015,21,+0120
2015,22,+0110
2015,23,+0100
2016,00,+0090
2016,01,+0090
2016,02,+0090
2016,03,+0100
2016,04,+0100
2016,05,+0100
2016,06,+0090
2016,07,+0100
2016,08,+0100
2016,09,+0120
2016,10,+0130
2016,11,+0150
2016,12,+0160
2016,13,+0160
2016,14,+0170
2016,15,+0170
2016,16,+0150
2016,17,+0150
2016,18,+0130
2016,19,+0120
2016,20,+0110
2016,21,+0090
2016,22,+0080
2016,23,+0070
2017,00,+0160
2017,01,+0150
2017,02,+0150
2017,03,+0150
2017,04,+0150
2017,05,+0150
2017,06,+0150
2017,07,+0150
2017,08,+0150
2017,09,+0150
2017,10,+0160
2017,11,+0170
2017,12,+0170
2017,13,+0170
2017,14,+0170
2017,15,+0160
2017,16,+0160
2017,17,+0150
2017,18,+0140
2017,19,+0140
2017,20,+0130
2017,21,+0130
2017,22,+0120
2017,23,+0110
2018,00,+0110
2018,01,+0110
2018,02,+0110
2018,03,+0110
2018,04,+0110
2018,05,+0120
2018,06,+0130
2018,07,+0140
2018,08,+0160
2018,09,+0170
2018,10,+0190
2018,11,+0190
2018,12,+0200
2018,13,+0190
2018,14,+0200
2018,15,+0190
2018,16,+0180
2018,17,+0180
2018,18,+0180
2018,19,+0170
2018,20,+0160
2018,21,+0160
2018,22,+0150
2018,23,+0150
